taxon_id,scientific_name,common_name,rank,iconic_taxon_name,observations_count,wikipedia_url,is_active,extinct
6930,Anas platyrhynchos,Mallard,species,Aves,746488,http://en.wikipedia.org/wiki/Mallard,TRUE,FALSE
47219,Apis mellifera,Western Honey Bee,species,Insecta,576958,http://en.wikipedia.org/wiki/Western_honey_bee,TRUE,FALSE
13858,Passer domesticus,House Sparrow,species,Aves,444292,http://en.wikipedia.org/wiki/House_sparrow,TRUE,FALSE
48484,Harmonia axyridis,Asian Lady Beetle,species,Insecta,439116,http://en.wikipedia.org/wiki/Harmonia_axyridis,TRUE,FALSE
48662,Danaus plexippus,Monarch,species,Insecta,416479,http://en.wikipedia.org/wiki/Monarch_butterfly,TRUE,FALSE
7089,Branta canadensis,Canada Goose,species,Aves,381737,http://en.wikipedia.org/wiki/Canada_goose,TRUE,FALSE
12727,Turdus migratorius,American Robin,species,Aves,378374,http://en.wikipedia.org/wiki/American_robin,TRUE,FALSE
4956,Ardea herodias,Great Blue Heron,species,Aves,365936,http://en.wikipedia.org/wiki/Great_blue_heron,TRUE,FALSE
3017,Columba livia,Rock Pigeon,species,Aves,345328,http://en.wikipedia.org/wiki/Rock_dove,TRUE,FALSE
42223,Odocoileus virginianus,White-tailed Deer,species,Mammalia,333039,http://en.wikipedia.org/wiki/White-tailed_deer,TRUE,FALSE
144455,Ardea alba,Great Egret,species,Aves,328549,http://en.wikipedia.org/wiki/Great_egret,TRUE,FALSE
46017,Sciurus carolinensis,Eastern Gray Squirrel,species,Mammalia,314823,http://en.wikipedia.org/wiki/Eastern_gray_squirrel,TRUE,FALSE
9083,Cardinalis cardinalis,Northern Cardinal,species,Aves,308652,http://en.wikipedia.org/wiki/Northern_cardinal,TRUE,FALSE
5212,Buteo jamaicensis,Red-tailed Hawk,species,Aves,293370,https://en.wikipedia.org/wiki/Red-tailed_hawk,TRUE,FALSE
52821,Achillea millefolium,common yarrow,species,Plantae,277091,http://en.wikipedia.org/wiki/Achillea_millefolium,TRUE,FALSE
199840,Haemorhous mexicanus,House Finch,species,Aves,275514,http://en.wikipedia.org/wiki/House_finch,TRUE,FALSE
14850,Sturnus vulgaris,European Starling,species,Aves,271466,http://en.wikipedia.org/wiki/Common_starling,TRUE,FALSE
9744,Agelaius phoeniceus,Red-winged Blackbird,species,Aves,254534,http://en.wikipedia.org/wiki/Red-winged_blackbird,TRUE,FALSE
3454,Zenaida macroura,Mourning Dove,species,Aves,247033,http://en.wikipedia.org/wiki/Mourning_dove,TRUE,FALSE
118970,Bombus impatiens,Common Eastern Bumble Bee,species,Insecta,239720,http://en.wikipedia.org/wiki/Bombus_impatiens,TRUE,FALSE
49133,Vanessa atalanta,Red Admiral,species,Insecta,237913,http://en.wikipedia.org/wiki/Vanessa_atalanta,TRUE,FALSE
47602,Taraxacum officinale,common dandelion,species,Plantae,234870,http://en.wikipedia.org/wiki/Taraxacum_officinale,TRUE,FALSE
51702,Coccinella septempunctata,Seven-spotted Lady Beetle,species,Insecta,231401,http://en.wikipedia.org/wiki/Coccinella_septempunctata,TRUE,FALSE
9100,Melospiza melodia,Song Sparrow,species,Aves,220451,http://en.wikipedia.org/wiki/Song_sparrow,TRUE,FALSE
4756,Cathartes aura,Turkey Vulture,species,Aves,215615,https://en.wikipedia.org/wiki/Turkey_vulture,TRUE,FALSE
55745,Trifolium repens,white clover,species,Plantae,208417,http://en.wikipedia.org/wiki/Trifolium_repens,TRUE,FALSE
55626,Pieris rapae,Small White,species,Insecta,207042,http://en.wikipedia.org/wiki/Pieris_rapae,TRUE,FALSE
39782,Trachemys scripta,Pond Slider,species,Reptilia,204098,http://en.wikipedia.org/wiki/Pond_slider,TRUE,FALSE
12716,Turdus merula,Eurasian Blackbird,species,Aves,201908,http://en.wikipedia.org/wiki/Common_blackbird,TRUE,FALSE
10094,Junco hyemalis,Dark-eyed Junco,species,Aves,196491,http://en.wikipedia.org/wiki/Dark-eyed_junco,TRUE,FALSE
145245,Setophaga coronata,Yellow-rumped Warbler,species,Aves,195964,http://en.wikipedia.org/wiki/Yellow-rumped_warbler,TRUE,FALSE
14886,Mimus polyglottos,Northern Mockingbird,species,Aves,195383,http://en.wikipedia.org/wiki/Northern_mockingbird,TRUE,FALSE
4954,Ardea cinerea,Grey Heron,species,Aves,194085,http://en.wikipedia.org/wiki/Grey_heron,TRUE,FALSE
51875,Trifolium pratense,Red Clover,species,Plantae,192461,http://en.wikipedia.org/wiki/Trifolium_pratense,TRUE,FALSE
203153,Parus major,Great Tit,species,Aves,188827,http://en.wikipedia.org/wiki/Great_tit,TRUE,FALSE
11901,Hirundo rustica,Barn Swallow,species,Aves,186919,http://en.wikipedia.org/wiki/Barn_swallow,TRUE,FALSE
5305,Haliaeetus leucocephalus,Bald Eagle,species,Aves,185869,http://en.wikipedia.org/wiki/Bald_eagle,TRUE,FALSE
64968,Anaxyrus americanus,American Toad,species,Amphibia,184378,https://en.wikipedia.org/wiki/American_toad,TRUE,FALSE
56061,Alliaria petiolata,garlic mustard,species,Plantae,182729,http://en.wikipedia.org/wiki/Alliaria_petiolata,TRUE,FALSE
8021,Corvus brachyrhynchos,American Crow,species,Aves,178279,http://en.wikipedia.org/wiki/American_crow,TRUE,FALSE
792988,Dryobates pubescens,Downy Woodpecker,species,Aves,173075,http://en.wikipedia.org/wiki/Downy_woodpecker,TRUE,FALSE
116999,Pandion haliaetus,Osprey,species,Aves,172625,http://en.wikipedia.org/wiki/Osprey,TRUE,FALSE
76610,Daucus carota,wild carrot,species,Plantae,171936,http://en.wikipedia.org/wiki/Daucus_carota,TRUE,FALSE
28362,Thamnophis sirtalis,Common Garter Snake,species,Reptilia,170499,https://en.wikipedia.org/wiki/Common_garter_snake,TRUE,FALSE
36204,Sceloporus occidentalis,Western Fence Lizard,species,Reptilia,169163,http://en.wikipedia.org/wiki/Western_fence_lizard,TRUE,FALSE
55830,Glechoma hederacea,ground-ivy,species,Plantae,168299,http://en.wikipedia.org/wiki/Glechoma_hederacea,TRUE,FALSE
52764,Prunella vulgaris,common selfheal,species,Plantae,167238,http://en.wikipedia.org/wiki/Prunella_vulgaris,TRUE,FALSE
8229,Cyanocitta cristata,Blue Jay,species,Aves,166568,http://en.wikipedia.org/wiki/Blue_jay,TRUE,FALSE
1454382,Nannopterum auritum,Double-crested Cormorant,species,Aves,165747,https://en.wikipedia.org/wiki/Double-crested_cormorant,TRUE,FALSE
43111,Sylvilagus floridanus,Eastern Cottontail,species,Mammalia,162205,http://en.wikipedia.org/wiki/Eastern_cottontail,TRUE,FALSE
10070,Fringilla coelebs,Common Chaffinch,species,Aves,161570,http://en.wikipedia.org/wiki/Common_chaffinch,TRUE,FALSE
145310,Spinus tristis,American Goldfinch,species,Aves,161378,http://en.wikipedia.org/wiki/American_goldfinch,TRUE,FALSE
42220,Odocoileus hemionus,Mule Deer,species,Mammalia,161161,http://en.wikipedia.org/wiki/Mule_deer,TRUE,FALSE
41663,Procyon lotor,Common Raccoon,species,Mammalia,159059,http://en.wikipedia.org/wiki/Raccoon,TRUE,FALSE
906,Meleagris gallopavo,Wild Turkey,species,Aves,155958,http://en.wikipedia.org/wiki/Wild_turkey,TRUE,FALSE
47911,Asclepias syriaca,common milkweed,species,Plantae,154814,http://en.wikipedia.org/wiki/Asclepias_syriaca,TRUE,FALSE
53178,Plantago lanceolata,ribwort plantain,species,Plantae,153982,http://en.wikipedia.org/wiki/Plantago_lanceolata,TRUE,FALSE
47726,Acer negundo,box elder,species,Plantae,153163,http://en.wikipedia.org/wiki/Acer_negundo,TRUE,FALSE
13695,Motacilla alba,White Wagtail,species,Aves,153066,http://en.wikipedia.org/wiki/White_wagtail,TRUE,FALSE
