,year,stateTerritory,ScientificName,CommonName,EPBCThreatStatus,occurrenceCount
0,1970,ACT,Aythya australis,Hardhead,Present,2
1,1970,ACT,Chloebia gouldiae,Gouldian Finch,Endangered,1
2,1970,ACT,Chroicocephalus novaehollandiae,Silver Gull,Present,3
3,1970,ACT,Eulamprus heatwolei,Yellow-bellied /water-skink,Present,1
4,1970,ACT,Maccullochella macquariensis,Trout Cod,Endangered,1
5,1970,ACT,Maccullochella peelii,Murray Cod,Vulnerable,4
6,1970,ACT,Myiagra cyanoleuca,Satin Flycatcher,Present,2
7,1970,ACT,Nyctophilus gouldi,Gould's Long-eared Bat,Present,1
8,1970,ACT,Ornithorhynchus anatinus,Platypus,Present,5
9,1970,ACT,Pachycephala olivacea,Olive Whistler,Present,9
10,1970,ACT,Parvipsitta pusilla,Little Lorikeet,Present,2
11,1970,ACT,Petroica boodang,Scarlet Robin,Present,2
12,1970,ACT,Petroica phoenicea,Flame Robin,Present,20
13,1970,ACT,Pseudemoia rawlinsoni,Glossy Grass Skink,Present,2
14,1970,ACT,Pycnoptilus floccosus,Pilotbird,Vulnerable,16
15,1970,ACT,Rattus villosissimus,Long-haired Rat,Present,1
16,1970,ACT,Rhipidura rufifrons,Rufous Fantail,Present,34
17,1970,NSW,Acanthophis antarcticus,Common Death Adder,Present,5
18,1970,NSW,Accipiter novaehollandiae,Grey Goshawk,Present,8
19,1970,NSW,Acrobates pygmaeus,Feathertail Glider,Present,4
20,1970,NSW,Actitis hypoleucos,Common Sandpiper,Present,3
21,1970,NSW,Adelotus brevis,Tusked Frog,Present,10
22,1970,NSW,Aepyprymnus rufescens,Rufous Bettong,Present,1
23,1970,NSW,Ambassis agassizii,Agassiz's Glassfish,Present,2
24,1970,NSW,Amytornis barbatus,Grey Grasswren,Present,1
25,1970,NSW,Anous stolidus,Common Noddy,Present,1
26,1970,NSW,Anseranas semipalmata,Magpie Goose,Present,1
27,1970,NSW,Antechinus agilis,Agile Antechinus,Present,18
28,1970,NSW,Antechinus flavipes,Yellow-footed Antechinus,Present,2
29,1970,NSW,Anthochaera phrygia,Regent Honeyeater,Critically Endangered,17
30,1970,NSW,Aphelocephala leucopsis,Southern Whiteface,Vulnerable,30
31,1970,NSW,Apus pacificus,Fork-tailed Swift,Present,3
32,1970,NSW,Arctocephalus pusillus,Australian Fur-seal,Present,1
33,1970,NSW,Ardea alba,Great Egret,Present,2
34,1970,NSW,Ardea intermedia,Intermediate Egret,Present,5
35,1970,NSW,Ardenna bulleri,Buller's Shearwater,Present,2
36,1970,NSW,Ardenna carneipes,Flesh-footed Shearwater,Present,2
37,1970,NSW,Ardenna grisea,Sooty Shearwater,Vulnerable,5
38,1970,NSW,Ardenna pacifica,Wedge-tailed Shearwater,Present,67
39,1970,NSW,Ardenna tenuirostris,Short-tailed Shearwater,Present,9
40,1970,NSW,Ardeotis australis,Australian Bustard,Present,2
41,1970,NSW,Arenaria interpres,Ruddy Turnstone,Vulnerable,1
42,1970,NSW,Argynnis hyperbius,Laced Fritillary,Present,1
43,1970,NSW,Atrichornis rufescens,Rufous Scrub-bird,Endangered,1
44,1970,NSW,Aythya australis,Hardhead,Present,86
45,1970,NSW,Botaurus poiciloptilus,Australasian Bittern,Endangered,3
46,1970,NSW,Bubulcus ibis,Cattle Egret,Present,13
47,1970,NSW,Burhinus grallarius,Bush Stone-curlew,Present,2
48,1970,NSW,Burramys parvus,Mountain Pygmy-possum,Endangered,10
49,1970,NSW,Calamanthus fuliginosus,Striated Fieldwren,Present,1
50,1970,NSW,Calidris acuminata,Sharp-tailed Sandpiper,Vulnerable,17
51,1970,NSW,Calidris ferruginea,Curlew Sandpiper,Critically Endangered,3
52,1970,NSW,Calidris ruficollis,Red-necked Stint,Present,6
53,1970,NSW,Callocephalon fimbriatum,Gang-gang Cockatoo,Endangered,61
54,1970,NSW,Calyptorhynchus lathami,Glossy Black-Cockatoo,Present,10
55,1970,NSW,Canis familiaris,Domestic Dog,Present,10
56,1970,NSW,Carterornis leucotis,White-eared Monarch,Present,5
57,1970,NSW,Cercartetus nanus,Eastern Pygmy-possum,Present,8
58,1970,NSW,Certhionyx variegatus,Pied Honeyeater,Present,1
59,1970,NSW,Ceyx azureus,Azure Kingfisher,Present,17
60,1970,NSW,Chalinolobus picatus,Little Pied Bat,Present,1
61,1970,NSW,Charadrius bicinctus,Double-banded Plover,Present,4
62,1970,NSW,Charadrius leschenaultii,Greater Sand Plover,Vulnerable,1
63,1970,NSW,Charadrius mongolus,Lesser Sand Plover,Endangered,2
64,1970,NSW,Chelodina expansa,Broad-Shelled River Turtle,Present,1
65,1970,NSW,Chelonia mydas,Green Turtle,Vulnerable,1
66,1970,NSW,Chlidonias hybrida,Whiskered Tern,Present,5
67,1970,NSW,Chroicocephalus novaehollandiae,Silver Gull,Present,30
68,1970,NSW,Circus assimilis,Spotted Harrier,Present,7
69,1970,NSW,Cladorhynchus leucocephalus,Banded Stilt,Present,1
70,1970,NSW,Climacteris picumnus,Brown Treecreeper,Present,40
71,1970,NSW,Coeranoscincus reticulatus,Three-toed Snake-tooth Skink,Vulnerable,1
72,1970,NSW,Coracina maxima,Ground Cuckoo-shrike,Present,2
73,1970,NSW,Crinia sloanei,Sloane's Froglet,Endangered,1
74,1970,NSW,Cuculus optatus,Oriental Cuckoo,Present,3
75,1970,NSW,Daphoenositta chrysoptera,Varied Sittella,Present,6
76,1970,NSW,Daption capense,Cape Petrel,Present,2
77,1970,NSW,Dasyornis brachypterus,Eastern Bristlebird,Endangered,1
78,1970,NSW,Dasyurus maculatus,Spotted-tailed Quoll,Present,6
79,1970,NSW,Dasyurus viverrinus,Eastern Quoll,Endangered,1
80,1970,NSW,Diomedea exulans,Wandering Albatross,Vulnerable,6
81,1970,NSW,Egernia cunninghami,Cunningham's Skink,Present,4
82,1970,NSW,Egretta garzetta,Little Egret,Present,5
83,1970,NSW,Emydura macquarii,Murray Turtle,Present,21
84,1970,NSW,Ephippiorhynchus asiaticus,Black-necked Stork,Present,7
85,1970,NSW,Epthianura albifrons,White-fronted Chat,Present,13
86,1970,NSW,Eudyptula minor,Little Penguin,Present,6
87,1970,NSW,Eulamprus heatwolei,Yellow-bellied /water-skink,Present,20
88,1970,NSW,Falco hypoleucos,Grey Falcon,Vulnerable,2
89,1970,NSW,Falco peregrinus,Peregrine Falcon,Present,18
90,1970,NSW,Falco subniger,Black Falcon,Present,21
91,1970,NSW,Falsistrellus tasmaniensis,Eastern Falsistrelle,Present,5
92,1970,NSW,Fregetta grallaria,White-bellied Storm-Petrel,Present,1
93,1970,NSW,Furina diadema,Red-naped Snake,Present,2
94,1970,NSW,Gallinago hardwickii,Latham's Snipe,Vulnerable,103
95,1970,NSW,Gavicalis fasciogularis,Mangrove Honeyeater,Present,1
96,1970,NSW,Gazameda gunnii,Gunn's Screw Shell,Present,1
97,1970,NSW,Gelochelidon nilotica,Gull-billed Tern,Present,7
98,1970,NSW,Geopelia cuneata,Diamond Dove,Present,2
99,1970,NSW,Gobiomorphus coxii,Cox's Gudgeon,Present,4
100,1970,NSW,Grantiella picta,Painted Honeyeater,Vulnerable,1
101,1970,NSW,Gygis alba,White Tern,Present,5
102,1970,NSW,Hadrachaeta aspeta,marine worm,Present,1
103,1970,NSW,Haematopus fuliginosus,Sooty Oystercatcher,Present,8
104,1970,NSW,Haematopus longirostris,Pied Oystercatcher,Present,9
105,1970,NSW,Haliaeetus leucogaster,White-bellied Sea-Eagle,Present,18
106,1970,NSW,Harrisoniascincus zia,Rainforest Cool-skink,Vulnerable,1
107,1970,NSW,Heleioporus australiacus,Giant Burrowing Frog,Present,8
108,1970,NSW,Hieraaetus morphnoides,Little Eagle,Present,12
109,1970,NSW,Hippocampus abdominalis,Big-belly Seahorse,Present,1
110,1970,NSW,Hippocampus whitei,White's Seahorse,Endangered,1
111,1970,NSW,Hirundapus caudacutus,White-throated Needletail,Vulnerable,24
112,1970,NSW,Hoplocephalus bungaroides,Broad-headed Snake,Endangered,4
113,1970,NSW,Hoplocephalus stephensii,Stephens' Banded Snake,Present,1
114,1970,NSW,Hydroprogne caspia,Caspian Tern,Present,7
115,1970,NSW,Hydrurga leptonyx,Leopard Seal,Present,1
116,1970,NSW,Hylacola pyrrhopygia,Chestnut-rumped Heathwren,Present,6
117,1970,NSW,Hypocysta adiante,Darwin Ringlet,Present,1
